question_id,difficulty_b,discrimination_a,guessing_c
Q1,-0.591069607827337,0.6368768190681191,0.04014379092309564
Q2,1.5497765625170428,1.610903780576319,0.04217502124523165
Q3,0.20333956478785042,0.5476547906995444,0.07166027503870209
Q4,0.2468287357883452,1.0648299176669405,0.08020814905358961
Q5,-0.15896088792807417,1.8406057388147279,0.052361899541692736
Q6,-1.4653077363816966,1.0367704275361216,0.024983522115036655
Q7,-1.4549462893527547,0.8051945833238543,0.0959763094092396
Q8,-1.8270060704005227,1.900708500390278,0.24216896197512533
Q9,-0.6227882066553305,1.9156406260816392,0.05462804913434652
Q10,-1.3663502770851466,1.344415783580705,0.21911069013498063
Q11,-0.31932772098710904,0.8936853461493577,0.12179107600332184
Q12,1.8111871538570776,0.8031655524290435,0.017792877304669552
Q13,1.4570666265771508,1.3945861445017163,0.10553103874188438
Q14,0.7903271573047488,1.8525761064525321,0.13133181402555152
Q15,-0.7399691354358167,1.7505958423219066,0.13463682953508732
Q16,-1.399374988404456,1.1296421087653457,0.1104037459299177
Q17,-0.36741781693240094,1.8088469335984363,0.1321070667249895
Q18,-0.25286496791044444,0.9703521560256905,0.11274786002392206
Q19,-1.4753837006034258,0.9755199050440457,0.1023656246213451
Q20,1.288857088806608,1.3855941044113165,0.11308452693329052
Q21,-0.4793028645588939,1.7073190829927531,0.1124600160157514
Q22,-1.7535119900064413,1.693711175411642,0.03149393489383384
Q23,1.7659102715005344,1.3229700134016433,0.026293499590276076
Q24,-0.43005417716201766,1.1735323971555545,0.13529957645774882
Q25,-0.8327288887825453,0.9703662871364911,0.0204440005178953
Q26,0.713843240639505,0.6023657320164717,0.16199075250531567
Q27,0.2771083127958951,1.2636271224296094,0.03647237345644819
Q28,1.7030978193271924,0.6089997928655114,0.03513896434064631
Q29,-0.5446660968417891,1.8296965226656359,0.0856030246607363
Q30,0.47521944351889145,1.1184867191122527,0.19498582994684452
